arch,scenario,n,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,min_ms,max_ms
docker,cold_warm_probe,15,2.84,2.78,3.1,3.21,0.15,2.64,3.24
docker,light_load,80,2.98,2.89,3.59,3.93,0.31,2.43,4.11
docker,medium_load,80,33.33,29.73,42.07,49.94,5.63,28.26,54.46
docker,heavy_load,40,85.85,85.05,90.58,92.35,2.37,83.17,93.25
serverless,cold_warm_probe,15,26.22,3.15,75.17,79.31,34.07,2.71,80.35
serverless_cold,cold_warm_probe,5,72.64,71.38,78.87,80.05,4.6,68.75,80.35
serverless_warm,cold_warm_probe,10,3.01,2.94,3.4,3.54,0.26,2.71,3.58
serverless,light_load,80,3.97,2.9,3.64,19.78,8.55,2.52,79.45
serverless_cold,light_load,1,79.45,79.45,79.45,79.45,,79.45,79.45
serverless_warm,light_load,79,3.02,2.9,3.61,3.83,0.31,2.52,3.92
serverless,medium_load,80,30.86,29.06,36.9,54.13,9.3,27.97,110.6
serverless_cold,medium_load,1,110.6,110.6,110.6,110.6,,110.6,110.6
serverless_warm,medium_load,79,29.85,29.05,35.2,38.05,2.25,27.97,39.12
serverless,heavy_load,40,90.13,86.68,102.27,132.36,11.04,83.23,149.96
serverless_cold,heavy_load,1,149.96,149.96,149.96,149.96,,149.96,149.96
serverless_warm,heavy_load,39,88.59,86.35,97.49,103.81,5.35,83.23,104.84
