scenario,arch,i,ts,intensity,latency_ms,server_total_ms,preprocess_ms,core_ms,postprocess_ms,cold_start
cold_warm_probe,docker,0,1779182931.5928152,light,2.713,2.47,0.002,2.403,0.007,False
cold_warm_probe,docker,1,1779182932.5943086,light,3.241,2.901,0.005,2.829,0.009,False
cold_warm_probe,docker,2,1779182933.594131,light,2.643,2.288,0.004,2.21,0.011,False
cold_warm_probe,docker,3,1779182934.5934765,light,2.762,2.487,0.004,2.422,0.009,False
cold_warm_probe,docker,4,1779182935.5935133,light,2.785,2.481,0.003,2.423,0.011,False
cold_warm_probe,docker,5,1779182936.5942764,light,2.932,2.55,0.003,2.492,0.011,False
cold_warm_probe,docker,6,1779182937.5938363,light,2.741,2.375,0.003,2.321,0.01,False
cold_warm_probe,docker,7,1779182938.593626,light,2.696,2.39,0.003,2.334,0.011,False
cold_warm_probe,docker,8,1779182939.5935717,light,3.038,2.792,0.004,2.73,0.01,False
cold_warm_probe,docker,9,1779182940.5934825,light,2.93,2.645,0.004,2.582,0.01,False
cold_warm_probe,docker,10,1779182941.593664,light,2.901,2.582,0.003,2.526,0.011,False
cold_warm_probe,docker,11,1779182942.593763,light,2.838,2.585,0.004,2.518,0.012,False
cold_warm_probe,docker,12,1779182943.593819,light,2.864,2.56,0.003,2.498,0.016,False
cold_warm_probe,docker,13,1779182944.5931928,light,2.751,2.544,0.003,2.483,0.014,False
cold_warm_probe,docker,14,1779182945.5934436,light,2.77,2.527,0.003,2.472,0.012,False
light_load,docker,0,1779182946.2327964,light,2.796,2.547,0.005,2.502,0.007,False
light_load,docker,1,1779182946.2836618,light,2.678,2.381,0.003,2.298,0.015,False
light_load,docker,2,1779182946.3333085,light,2.686,2.39,0.002,2.335,0.01,False
light_load,docker,3,1779182946.3837066,light,2.863,2.561,0.003,2.505,0.01,False
light_load,docker,4,1779182946.4335816,light,2.865,2.559,0.003,2.504,0.01,False
light_load,docker,5,1779182946.4833164,light,2.845,2.579,0.003,2.529,0.007,False
light_load,docker,6,1779182946.5338244,light,2.848,2.541,0.003,2.484,0.011,False
light_load,docker,7,1779182946.5837958,light,2.946,2.578,0.003,2.522,0.012,False
